-12,-3,0.33040936,1
-8,-3,0.8752436,1
-4,-3,0.9883042,1
0,-3,0.6793373,1
4,-3,0.33040936,1
-12,0,0.33040936,1
-8,0,0.9892789,1
-4,0,0.9902535,1
0,0,0.9307992,1
4,0,0.33040936,1
-12,3,0.9902535,1
-8,3,0.9922028,1
-4,3,0.9892789,1
0,3,0.9346979,1
4,3,0.33040936,1
-12,6,0.9902534,1
-8,6,0.9902535,1
-4,6,0.9902536,1
0,6,0.9346979,1
4,6,0.33040936,1
-12,9,0.9892788,1
-8,9,0.9902535,1
-4,9,0.9902536,1
0,9,0.9346979,1
4,9,0.33040936,1
-12,12,0.9863548,1
-8,12,0.9902535,1
-4,12,0.9902536,1
0,12,0.9346979,1
4,12,0.33040936,1
-11,0,0.8879142,2
-10,0,0.9795322,2
-9,0,0.9883042,2
-7,0,0.9902536,2
-6,0,0.9892789,2
-5,0,0.9892789,2
-12,1,0.8879142,2
-11,1,0.9824561,2
-10,1,0.9892789,2
-9,1,0.9892789,2
-8,1,0.9902535,2
-7,1,0.9922028,2
-6,1,0.9912282,2
-5,1,0.9902535,2
-4,1,0.9892789,2
-12,2,0.9824561,2
-11,2,0.9892789,2
-10,2,0.9902535,2
-9,2,0.9902535,2
-8,2,0.9922028,2
-7,2,0.9922028,2
-6,2,0.9922028,2
-5,2,0.9892789,2
-4,2,0.9892789,2
-11,3,0.9912282,2
-10,3,0.9912282,2
-9,3,0.9922028,2
-7,3,0.9931774,2
-6,3,0.9912282,2
-5,3,0.9883042,2
-12,4,0.9902535,2
-11,4,0.9912282,2
-10,4,0.9931774,2
-9,4,0.9922028,2
-8,4,0.9931774,2
-7,4,0.9922028,2
-6,4,0.9902535,2
-5,4,0.9892789,2
-4,4,0.9902536,2
-12,5,0.9902535,2
-11,5,0.9922027,2
-10,5,0.9931774,2
-9,5,0.9931774,2
-8,5,0.9922028,2
-7,5,0.9912281,2
-6,5,0.9922028,2
-5,5,0.9892789,2
-4,5,0.9902536,2
-11,6,0.991228,2
-10,6,0.994152,2
-9,6,0.9912282,2
-7,6,0.9931774,2
-6,6,0.9922028,2
-5,6,0.9892789,2
